Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,SBTi_Near_Term_Target_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Perf_Scope1_2_Emissions_tCO2e,Perf_Scope3_Emissions_tCO2e,Perf_Baseline_Year,Perf_Baseline_Emissions_tCO2e,Perf_Carbon_Reduction_Target_pct,Perf_Carbon_Target_Year,Perf_NetZero_Target_Year,Perf_Renewable_Energy_pct,Perf_Recycled_Materials_pct,Perf_Revenue_USD_M,Perf_Employees,Perf_Source_Report
Puma,Sports/Active,Europe,A,7.0,Targets set,3,,0,,2030,,67.9,63.6,78.3,73.0,66.7,33.3,50,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,1,0,1.0,1.0,1,0,0,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1,1,0,0,1,1,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,,,,,,,,,,,,
H&M,Fast Fashion,Europe,A,7.0,Not Found,0,,0,,,39.0,66.7,63.6,47.8,67.6,60.0,83.3,75,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1,1,0,1,1,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.0,,,,,,,,,,,,
Hanesbrands,Sports/Active,North America,A,7.0,Targets set,3,,0,,2030,,51.3,45.5,60.9,56.8,40.0,50.0,50,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,0,0.0,0.0,1,1,0,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,,,2019.0,,50.0,2030.0,,67.0,52.0,,,"HBI 2024 Sustainability Summary Report (new 2030 goals, p.10; no absolute tCO2e disclosed)"
lululemon athletica,Sports/Active,North America,B,5.0,Targets set,3,Targets set,1,2050,2030,-3.0,51.3,63.6,34.8,48.6,33.3,33.3,100,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1,1,0,1.0,1.0,1,0,0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1,1,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,,,,,,,,,,,,
Adidas AG,Sports/Active,Europe,A,7.0,Targets set,3,Targets set,1,2050,2030,25.0,50.0,54.5,30.4,48.6,40.0,33.3,100,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1,0,1,1,1,0,1.0,1.0,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0.0,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,127983.0,6236869.0,2022.0,164149.0,70.0,2030.0,2050.0,36.0,43.0,26500.0,59478.0,Adidas Annual Report 2025
Asics Corporation,Sports/Active,Asia,A,7.0,Targets set,3,Commitment removed,0,,2030,,46.2,54.5,47.8,51.4,13.3,50.0,75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,0,0.0,0.0,1,1,0,1,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0,0,0,0,1,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,17565.0,776017.0,2015.0,30858.0,63.0,2030.0,2050.0,36.8,50.0,4480.0,8987.0,ASICS Sustainability Report 2024 (Revenue est. from JPY @~151/USD; verify)
Ralph Lauren Corporation,Luxury,North America,C,3.0,Targets set,3,Commitment removed,0,,FY2030,,46.2,63.6,26.1,43.2,26.7,83.3,75,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,1.0,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,
Gildan Activewear Inc.,Sports/Active,North America,A-,6.0,Targets set,3,,0,,2030,,44.9,45.5,39.1,51.4,33.3,66.7,50,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1.0,1.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,
Superdry plc,Fast Fashion,Europe,B,5.0,Targets set,3,Targets set,1,FY2040,FY2030,,44.9,63.6,26.1,29.7,53.3,50.0,100,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1.0,1.0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1,0,0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,,,,,,,,,,,,
Levi Strauss & Co.,Mid-Market,North America,C,3.0,Targets set,3,Targets set,1,FY2050,FY2030,20.0,39.7,54.5,21.7,40.5,13.3,50.0,75,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1,1,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,,,,,,,,,,,,
